accession	sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1_ardc_2	Anti_RM	ardc	Antidefense	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1_68	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1_68	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1_68	1	ardc
GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1_Aca_alone_1	Anti_CRISPR	Aca_alone	Antidefense	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1_121	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1_121	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1_121	1	aca4
GCA_003950015.1_ASM395001v1_genomic_all_plasmids.part_CP034355.1	GCA_003950015.1_ASM395001v1_genomic_all_plasmids.part_CP034355.1_ardc_1	Anti_RM	ardc	Antidefense	GCA_003950015.1_ASM395001v1_genomic_all_plasmids.part_CP034355.1_70	GCA_003950015.1_ASM395001v1_genomic_all_plasmids.part_CP034355.1_70	GCA_003950015.1_ASM395001v1_genomic_all_plasmids.part_CP034355.1_70	1	ardc
GCA_006704595.2_ASM670459v2_genomic_all_plasmids.part_CP083369.1	GCA_006704595.2_ASM670459v2_genomic_all_plasmids.part_CP083369.1_ardk_1	Anti_RM	ardk	Antidefense	GCA_006704595.2_ASM670459v2_genomic_all_plasmids.part_CP083369.1_13	GCA_006704595.2_ASM670459v2_genomic_all_plasmids.part_CP083369.1_13	GCA_006704595.2_ASM670459v2_genomic_all_plasmids.part_CP083369.1_13	1	ardk
GCA_007833895.1_ASM783389v1_genomic_all_plasmids.part_CP040685.1	GCA_007833895.1_ASM783389v1_genomic_all_plasmids.part_CP040685.1_ardb_klca_acric11_1	Anti_RM	ardb_klca_acric11	Antidefense	GCA_007833895.1_ASM783389v1_genomic_all_plasmids.part_CP040685.1_28	GCA_007833895.1_ASM783389v1_genomic_all_plasmids.part_CP040685.1_28	GCA_007833895.1_ASM783389v1_genomic_all_plasmids.part_CP040685.1_28	1	klca
GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_ardk_4	Anti_RM	ardk	Antidefense	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_7	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_7	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_7	1	ardk
GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_20	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_22	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_20,GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_22	2	aca1,acrif3
GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_21	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_22	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_21,GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_22	2	aca1,acrif5
GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrie1_2	Anti_CRISPR	acrie1	Antidefense	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_7	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_10	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_7,GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_10	2	aca1,acrie1
GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrif3_3	Anti_CRISPR	acrif3	Antidefense	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_8	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_10	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_8,GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_10	2	aca1,acrif3
GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_acrif5_4	Anti_CRISPR	acrif5	Antidefense	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_9	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_10	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_9,GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_10	2	aca1,acrif5
GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_ardk_5	Anti_RM	ardk	Antidefense	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_19	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_19	GCA_011045375.1_ASM1104537v1_genomic_all_plasmids.part_CP049162.1_19	1	ardk
GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_vcrx091_093_2	Anti_CRISPR	vcrx091_093	Antidefense	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_58	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_64	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_58,GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_64	2	vcrx091,vcrx093
GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_Aca_alone_1	Anti_CRISPR	Aca_alone	Antidefense	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_164	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_164	GCA_012971705.1_ASM1297170v1_genomic_all_plasmids.part_CP052760.1_164	1	aca4
