replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
AB910392	AB910392_78	acb2	78	defense-finder-models/ADF/Anti_CBASS/acb2	AB910392_acb2_1	1	1	1.0	1.0	1	acb2	mandatory	301	3.2e-16	52.2	0.895	0.309	207	299			Anti_CBASS	acb2	Antidefense
AF234172.1	AF234172.1_14	ulx	14	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF234172.1_dar_ddr_hdf_ulx_1	1	1	0.333	2.0	1	ulx	mandatory	147	2.9999999999999997e-62	201.4	0.986	0.973	1	143			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF234172.1	AF234172.1_15	darb	15	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF234172.1_dar_ddr_hdf_ulx_1	1	1	0.333	2.0	1	darb	mandatory	2256	0.0	5439.1	1.0	1.0	1	2255			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF234172.1	AF234172.1_24	ddrb	24	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF234172.1_dar_ddr_hdf_ulx_2	1	1	0.667	4.0	1	ddrb	mandatory	996	0.0	1874.9	0.999	0.998	1	994			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF234172.1	AF234172.1_25	ddra	25	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF234172.1_dar_ddr_hdf_ulx_2	1	1	0.667	4.0	1	ddra	mandatory	122	1.5e-56	182.6	1.0	0.992	1	121			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF234172.1	AF234172.1_26	dara	26	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF234172.1_dar_ddr_hdf_ulx_2	1	1	0.667	4.0	1	dara	mandatory	640	0.0	1256.2	1.0	0.997	1	638			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF234172.1	AF234172.1_27	hdf	27	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF234172.1_dar_ddr_hdf_ulx_2	1	1	0.667	4.0	1	hdf	mandatory	201	6.7e-84	273.4	0.976	0.99	1	199			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF234173.1	AF234173.1_13	ulx	13	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF234173.1_dar_ddr_hdf_ulx_1	1	1	0.333	2.0	1	ulx	mandatory	147	2.9999999999999997e-62	201.4	0.986	0.973	1	143			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF234173.1	AF234173.1_14	darb	14	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF234173.1_dar_ddr_hdf_ulx_1	1	1	0.333	2.0	1	darb	mandatory	2256	0.0	5439.1	1.0	1.0	1	2255			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF234173.1	AF234173.1_23	ddrb	23	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF234173.1_dar_ddr_hdf_ulx_2	1	1	0.667	4.0	1	ddrb	mandatory	996	0.0	1874.9	0.999	0.998	1	994			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF234173.1	AF234173.1_24	ddra	24	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF234173.1_dar_ddr_hdf_ulx_2	1	1	0.667	4.0	1	ddra	mandatory	122	1.5e-56	182.6	1.0	0.992	1	121			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF234173.1	AF234173.1_25	dara	25	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF234173.1_dar_ddr_hdf_ulx_2	1	1	0.667	4.0	1	dara	mandatory	640	0.0	1256.2	1.0	0.997	1	638			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF234173.1	AF234173.1_26	hdf	26	defense-finder-models/ADF/Anti_RM/dar_ddr_hdf_ulx	AF234173.1_dar_ddr_hdf_ulx_2	1	1	0.667	4.0	1	hdf	mandatory	201	6.6e-84	273.4	0.976	0.99	1	199			Anti_RM	dar_ddr_hdf_ulx	Antidefense
AF399011	AF399011_174	tad1	174	defense-finder-models/ADF/Anti_Thoeris/tad1	AF399011_tad1_1	1	1	1.0	1.0	1	tad1	mandatory	231	3.3e-21	70.1	0.835	0.468	120	227			Anti_Thoeris	tad1	Antidefense
