sys_id	replicon	type	subtype	sys_nt_begin	sys_nt_end	genome_length	norm_mid
AY394005_acrif2_c2_2	AY394005	Anti_CRISPR	acrif2_c2	5120	5785	37580	0.14509047365620012
DQ631426_acrie3_2	DQ631426	Anti_CRISPR	acrie3	5107	5524	36384	0.14609443711521547
DQ873690_acrie2_2	DQ873690	Anti_CRISPR	acrie2	5232	6183	36407	0.15676930260664157
DQ873690_acrif3_3	DQ873690	Anti_CRISPR	acrif3	5543	6183	36407	0.1610404592523416
EU272036_acrif2_c2_2	EU272036	Anti_CRISPR	acrif2_c2	5240	5744	36630	0.14993174993174993
HE584812_acrif7_2	HE584812	Anti_CRISPR	acrif7	5120	5534	36307	0.14672101798551243
HG798806_acrif7_2	HG798806	Anti_CRISPR	acrif7	43781	44183	45549	0.9655974884190652
HG798806_vcrx091_093_3	HG798806	Anti_CRISPR	vcrx091_093	29461	31260	45549	0.666545917583262
HM624080_acrif3_2	HM624080	Anti_CRISPR	acrif3	5401	6274	34551	0.16895314173251136
HM624080_acrif5_3	HM624080	Anti_CRISPR	acrif5	5817	6274	34551	0.17497322798182396
JN808773_acrie2_2	JN808773	Anti_CRISPR	acrie2	5232	6183	37372	0.15272128866531093
JN808773_acrif3_3	JN808773	Anti_CRISPR	acrif3	5543	6183	37372	0.15688215776517178
JN811560_acrie3_2	JN811560	Anti_CRISPR	acrie3	5120	5827	37810	0.14476329013488495
JN811560_acrif4_3	JN811560	Anti_CRISPR	acrif4	5314	5827	37810	0.1473287490081989
JQ067085_acrie3_2	JQ067085	Anti_CRISPR	acrie3	5120	5827	36063	0.15177605856417936
JQ067085_acrif4_3	JQ067085	Anti_CRISPR	acrif4	5314	5827	36063	0.1544657959681668
JQ762257_acrif1_2	JQ762257	Anti_CRISPR	acrif1	5107	5554	36816	0.14478759235115168
JX434030_acrie1_2	JX434030	Anti_CRISPR	acrie1	5240	6438	37738	0.1547246806932005
JX434030_acrif3_3	JX434030	Anti_CRISPR	acrif3	5565	6438	37738	0.1590306852509407
JX434030_acrif5_4	JX434030	Anti_CRISPR	acrif5	5981	6438	37738	0.16454237108484818
JX434031_acrie3_2	JX434031	Anti_CRISPR	acrie3	5107	5814	37065	0.1473222716848779
