accession	replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1_68	ardc	68	defense-finder-models/ADF/Anti_RM/ardc	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1_ardc_2	1	1	1.0	1.0	1	ardc	mandatory	536	2.6e-94	309.1	0.919	0.558	199	497			Anti_RM	ardc	Antidefense
GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1_121	aca4	121	defense-finder-models/ADF/Anti_CRISPR/Aca_alone	GCA_003571805.1_ASM357180v1_genomic_all_plasmids.part_CP032256.1_Aca_alone_1	1	1	0.077	1.0	1	aca4	mandatory	74	4.1e-18	58.8	0.971	0.919	4	71			Anti_CRISPR	Aca_alone	Antidefense
GCA_003950015.1_ASM395001v1_genomic_all_plasmids.part_CP034355.1	GCA_003950015.1_ASM395001v1_genomic_all_plasmids.part_CP034355.1	GCA_003950015.1_ASM395001v1_genomic_all_plasmids.part_CP034355.1_70	ardc	70	defense-finder-models/ADF/Anti_RM/ardc	GCA_003950015.1_ASM395001v1_genomic_all_plasmids.part_CP034355.1_ardc_1	1	1	1.0	1.0	1	ardc	mandatory	536	2.6e-94	309.1	0.919	0.558	199	497			Anti_RM	ardc	Antidefense
GCA_006704595.2_ASM670459v2_genomic_all_plasmids.part_CP083369.1	GCA_006704595.2_ASM670459v2_genomic_all_plasmids.part_CP083369.1	GCA_006704595.2_ASM670459v2_genomic_all_plasmids.part_CP083369.1_13	ardk	13	defense-finder-models/ADF/Anti_RM/ardk	GCA_006704595.2_ASM670459v2_genomic_all_plasmids.part_CP083369.1_ardk_1	1	1	1.0	1.0	1	ardk	mandatory	117	1e-35	114.4	0.964	0.889	1	104			Anti_RM	ardk	Antidefense
GCA_007833895.1_ASM783389v1_genomic_all_plasmids.part_CP040685.1	GCA_007833895.1_ASM783389v1_genomic_all_plasmids.part_CP040685.1	GCA_007833895.1_ASM783389v1_genomic_all_plasmids.part_CP040685.1_28	klca	28	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	GCA_007833895.1_ASM783389v1_genomic_all_plasmids.part_CP040685.1_ardb_klca_acric11_1	1	1	1.0	0.8	1	ardb	mandatory	142	4.4e-57	183.9	0.865	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_7	ardk	7	defense-finder-models/ADF/Anti_RM/ardk	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_ardk_4	1	1	1.0	1.0	1	ardk	mandatory	97	4.1e-40	128.3	0.873	0.969	2	95			Anti_RM	ardk	Antidefense
GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_20	acrif3	20	defense-finder-models/ADF/Anti_CRISPR/acrif3	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_acrif3_2	1	1	0.143	1.5	1	acrif3	mandatory	141	9.7e-85	274.0	0.986	0.972	1	137			Anti_CRISPR	acrif3	Antidefense
GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_21	acrif5	21	defense-finder-models/ADF/Anti_CRISPR/acrif5	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_acrif5_3	1	1	0.143	1.5	1	acrif5	mandatory	80	2.5e-57	183.0	1.0	0.988	1	79			Anti_CRISPR	acrif5	Antidefense
GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_22	aca1	22	defense-finder-models/ADF/Anti_CRISPR/acrif3	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_acrif3_2	1	1	0.143	1.5	1	aca1	accessory	68	2.2e-35	112.9	0.958	0.971	1	66		GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_Aca_alone_1,GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_acrif5_3	Anti_CRISPR	acrif3	Antidefense
GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_22	aca1	22	defense-finder-models/ADF/Anti_CRISPR/acrif5	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_acrif5_3	1	1	0.143	1.5	1	aca1	accessory	68	2.2e-35	112.9	0.958	0.971	1	66		GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_Aca_alone_1,GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_acrif3_2	Anti_CRISPR	acrif5	Antidefense
