qseqid	sseqid	sstart	send	sstrand	pident	length	mismatch	gapopen	qlen	hit_min	hit_max	sys_id	type	subtype	sys_nt_begin	sys_nt_end	genome_length	norm_mid
pa00248_4	JBRULP010000002.1	14996	15026	plus	100	31	0	0	32	14996	15026	GCA_053211075.1_ASM5321107v1_genomic_all_plasmids.part_JBRULP010000002.1_acrif3_2	Anti_CRISPR	acrif3	14520	15378	21072	0.7094248291571754
pa00248_4	JBRONO010000002.1	30544	30574	plus	100	31	0	0	32	30544	30574	GCA_053146995.1_ASM5314699v1_genomic_all_plasmids.part_JBRONO010000002.1_acrif3_2	Anti_CRISPR	acrif3	30068	30926	39814	0.765986838800422
pa00248_4	CP158059.1	11052	11022	minus	100	31	0	0	32	11022	11052	GCA_053048035.1_ASM5304803v1_genomic_all_plasmids.part_CP158059.1_acrif3_2	Anti_CRISPR	acrif3	10670	11528	51955	0.21362717736502743
pa00248_4	CP158065.1	10982	10952	minus	100	31	0	0	32	10952	10982	GCA_052975045.1_ASM5297504v1_genomic_all_plasmids.part_CP158065.1_acrif3_2	Anti_CRISPR	acrif3	10600	11458	51897	0.2125171011811858
pa00248_4	CP187733.1	16249	16219	minus	100	31	0	0	32	16219	16249	GCA_052692635.1_ASM5269263v1_genomic_all_plasmids.part_CP187733.1_acrif3_2	Anti_CRISPR	acrif3	15867	16725	41054	0.39694061480001946
pa00248_4	CP187731.1	16249	16219	minus	100	31	0	0	32	16219	16249	GCA_052692625.1_ASM5269262v1_genomic_all_plasmids.part_CP187731.1_acrif3_2	Anti_CRISPR	acrif3	15867	16725	41040	0.39707602339181286
pa00248_4	CP195764.1	54101	54071	minus	100	31	0	0	32	54071	54101	GCA_051416385.1_ASM5141638v1_genomic_all_plasmids.part_CP195764.1_acrif3_3	Anti_CRISPR	acrif3	53719	54577	94956	0.5702430599435528
pa00248_4	CP192439.1	16232	16202	minus	100	31	0	0	32	16202	16232	GCA_050596355.1_ASM5059635v1_genomic_all_plasmids.part_CP192439.1_acrif3_2	Anti_CRISPR	acrif3	15850	16708	41037	0.3966907912371762
pa00248_4	CP185404.1	32333	32363	plus	100	31	0	0	32	32333	32363	GCA_049177105.1_ASM4917710v1_genomic_all_plasmids.part_CP185404.1_acrif3_2	Anti_CRISPR	acrif3	31857	32715	41603	0.7760498041006658
pa00248_4	CP159843.1	12406	12376	minus	100	31	0	0	32	12376	12406	GCA_040562075.1_ASM4056207v1_genomic_all_plasmids.part_CP159843.1_acrif3_2	Anti_CRISPR	acrif3	12024	12882	37885	0.32870529233205753
pa00248_4	CP159839.1	12681	12651	minus	100	31	0	0	32	12651	12681	GCA_040560445.1_PA64_genomic_all_plasmids.part_CP159839.1_acrif3_2	Anti_CRISPR	acrif3	12299	13157	37486	0.33954009496878834
pa00248_4	CP158572.1	54413	54383	minus	100	31	0	0	32	54383	54413	GCA_040268335.1_ASM4026833v1_genomic_all_plasmids.part_CP158572.1_acrif3_3	Anti_CRISPR	acrif3	54031	54889	95281	0.5715725065857831
pa00248_4	CP150884.1	25054	25024	minus	100	31	0	0	32	25024	25054	GCA_039908075.1_UNIFI_Paer_26323_genomic_all_plasmids.part_CP150884.1_acrif3_2	Anti_CRISPR	acrif3	24672	25530	59272	0.42348832501012285
pa00248_4	CP136015.1	31029	31059	plus	100	31	0	0	32	31029	31059	GCA_032463705.1_ASM3246370v1_genomic_all_plasmids.part_CP136015.1_acrif3_2	Anti_CRISPR	acrif3	30553	31411	40299	0.7688031961090845
pa00248_4	CP125368.1	12327	12297	minus	100	31	0	0	32	12297	12327	GCA_030034675.1_ASM3003467v1_genomic_all_plasmids.part_CP125368.1_acrif3_2	Anti_CRISPR	acrif3	11945	12803	33983	0.36412323808963304
pa00248_4	CP125366.1	13351	13321	minus	100	31	0	0	32	13321	13351	GCA_030034655.1_ASM3003465v1_genomic_all_plasmids.part_CP125366.1_acrif3_2	Anti_CRISPR	acrif3	12969	13827	33690	0.3976847729296527
pa00248_4	CP125364.1	12431	12401	minus	100	31	0	0	32	12401	12431	GCA_030034635.1_ASM3003463v1_genomic_all_plasmids.part_CP125364.1_acrif3_2	Anti_CRISPR	acrif3	12049	12907	34088	0.36605256981929124
pa00248_4	CP125362.1	13912	13882	minus	100	31	0	0	32	13882	13912	GCA_030034615.1_ASM3003461v1_genomic_all_plasmids.part_CP125362.1_acrif3_2	Anti_CRISPR	acrif3	13530	14388	38493	0.3626373626373626
pa00248_4	CP104872.1	40053	40083	plus	100	31	0	0	32	40053	40083	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_acrif3_2	Anti_CRISPR	acrif3	39577	40435	49323	0.8111023254870953
pa00248_4	CP094852.1	11127	11097	minus	100	31	0	0	32	11097	11127	GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_acrif3_2	Anti_CRISPR	acrif3	10745	11603	52040	0.2147194465795542
pa00248_4	CP078003.1	42900	42870	minus	100	31	0	0	32	42870	42900	GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_acrif3_2	Anti_CRISPR	acrif3	42518	43376	58800	0.730391156462585
pa00248_4	CP078005.1	46274	46244	minus	100	31	0	0	32	46244	46274	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_acrif3_2	Anti_CRISPR	acrif3	45892	46750	64629	0.7167215955685529
pa00248_4	CP078000.1	99232	99262	plus	100	31	0	0	32	99232	99262	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_acrif3_3	Anti_CRISPR	acrif3	99192	99614	106677	0.9318128556296109
pa00248_4	CP078000.1	60510	60539	plus	100	30	0	0	32	60510	60539	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_acrif3_2	Anti_CRISPR	acrif3	60479	60901	106677	0.5689136364914649
pa00248_4	CP077995.1	22361	22391	plus	100	31	0	0	32	22361	22391	GCA_019857505.1_ASM1985750v1_genomic_all_plasmids.part_CP077995.1_acrif3_2	Anti_CRISPR	acrif3	21885	22743	62801	0.355312813490231
pa00248_4	CP077990.1	11052	11022	minus	100	31	0	0	32	11022	11052	GCA_019857485.1_ASM1985748v1_genomic_all_plasmids.part_CP077990.1_acrif3_2	Anti_CRISPR	acrif3	10670	11528	51967	0.21357784748013162
pa00248_4	CP077986.1	11052	11022	minus	100	31	0	0	32	11022	11052	GCA_019857465.1_ASM1985746v1_genomic_all_plasmids.part_CP077986.1_acrif3_2	Anti_CRISPR	acrif3	10670	11528	51967	0.21357784748013162
pa00248_4	CP077982.1	11052	11022	minus	100	31	0	0	32	11022	11052	GCA_019857445.1_ASM1985744v1_genomic_all_plasmids.part_CP077982.1_acrif3_2	Anti_CRISPR	acrif3	10670	11528	52043	0.21326595315412256
pa00248_4	CP077974.1	11052	11022	minus	100	31	0	0	32	11022	11052	GCA_019857405.1_ASM1985740v1_genomic_all_plasmids.part_CP077974.1_acrif3_2	Anti_CRISPR	acrif3	10670	11528	51967	0.21357784748013162
pa00248_4	CP064396.1	34459	34489	plus	100	31	0	0	32	34459	34489	GCA_019857305.1_ASM1985730v1_genomic_all_plasmids.part_CP064396.1_acrif3_2	Anti_CRISPR	acrif3	33983	34841	44424	0.774626328110931
pa00248_4	CP064398.1	24518	24488	minus	100	31	0	0	32	24488	24518	GCA_019857285.1_ASM1985728v1_genomic_all_plasmids.part_CP064398.1_acrif3_2	Anti_CRISPR	acrif3	24136	24994	49323	0.4980435091133954
pa00248_4	CP064394.1	8678	8648	minus	100	31	0	0	32	8648	8678	GCA_019857265.1_ASM1985726v1_genomic_all_plasmids.part_CP064394.1_acrif3_2	Anti_CRISPR	acrif3	8296	9154	29240	0.29839261285909713
pa00248_4	CP080290.1	32603	32633	plus	100	31	0	0	32	32603	32633	GCA_019434235.1_ASM1943423v1_genomic_all_plasmids.part_CP080290.1_acrif3_2	Anti_CRISPR	acrif3	32127	32985	41873	0.7774938504525589
pa00248_4	CP080012.1	31134	31164	plus	100	31	0	0	32	31134	31164	GCA_019379355.1_ASM1937935v1_genomic_all_plasmids.part_CP080012.1_acrif3_2	Anti_CRISPR	acrif3	30658	31516	41099	0.7563930995887977
pa00248_4	CP065418.1	31602	31632	plus	100	31	0	0	32	31602	31632	GCA_015832075.1_ASM1583207v1_genomic_all_plasmids.part_CP065418.1_acrif3_2	Anti_CRISPR	acrif3	31126	31984	40872	0.7720444313955764
pa00248_4	CP061851.1	23701	23731	plus	100	31	0	0	32	23701	23731	GCA_014792125.1_ASM1479212v1_genomic_all_plasmids.part_CP061851.1_acrif3_2	Anti_CRISPR	acrif3	23225	24083	29400	0.8045578231292517
pa00248_4	CP024631.1	10745	10715	minus	100	31	0	0	32	10715	10745	GCA_009497675.1_ASM949767v1_genomic_all_plasmids.part_CP024631.1_acrif3_2	Anti_CRISPR	acrif3	10363	11221	46519	0.23199122939014166
pa00248_4	CP171891.1	14343	14314	minus	100	30	0	0	32	14314	14343	GCA_053360785.1_ASM5336078v1_genomic_all_plasmids.part_CP171891.1_acrie1_2	Anti_CRISPR	acrie1	13636	14826	49387	0.28815275274869906
pa00248_4	CP171891.1	14343	14314	minus	100	30	0	0	32	14314	14343	GCA_053360785.1_ASM5336078v1_genomic_all_plasmids.part_CP171891.1_acrif3_3	Anti_CRISPR	acrif3	13961	14826	49387	0.291443092311742
pa00248_4	CP171889.1	14344	14315	minus	100	30	0	0	32	14315	14344	GCA_053360775.1_ASM5336077v1_genomic_all_plasmids.part_CP171889.1_acrie1_2	Anti_CRISPR	acrie1	13637	14827	49387	0.2881730009921639
pa00248_4	CP171889.1	14344	14315	minus	100	30	0	0	32	14315	14344	GCA_053360775.1_ASM5336077v1_genomic_all_plasmids.part_CP171889.1_acrif3_3	Anti_CRISPR	acrif3	13962	14827	49387	0.29146334055520684
pa00248_4	CP171967.1	15260	15231	minus	100	30	0	0	32	15231	15260	GCA_053360765.1_ASM5336076v1_genomic_all_plasmids.part_CP171967.1_acrie1_2	Anti_CRISPR	acrie1	14553	15743	48860	0.31002865329512896
pa00248_4	CP171967.1	15260	15231	minus	100	30	0	0	32	15231	15260	GCA_053360765.1_ASM5336076v1_genomic_all_plasmids.part_CP171967.1_acrif3_3	Anti_CRISPR	acrif3	14878	15743	48860	0.31335448219402373
pa00248_4	CP195765.1	7595	7566	minus	100	30	0	0	32	7566	7595	GCA_051416385.1_ASM5141638v1_genomic_all_plasmids.part_CP195765.1_acrie1_2	Anti_CRISPR	acrie1	6879	8078	52449	0.14258613128944309
pa00248_4	CP195765.1	7595	7566	minus	100	30	0	0	32	7566	7595	GCA_051416385.1_ASM5141638v1_genomic_all_plasmids.part_CP195765.1_acrif3_3	Anti_CRISPR	acrif3	7204	8078	52449	0.14568437911113652
pa00248_4	CP158573.1	2461	2432	minus	100	30	0	0	32	2432	2461	GCA_040268335.1_ASM4026833v1_genomic_all_plasmids.part_CP158573.1_acrie1_2	Anti_CRISPR	acrie1	1745	2944	48972	0.04787429551580495
pa00248_4	CP158573.1	2461	2432	minus	100	30	0	0	32	2432	2461	GCA_040268335.1_ASM4026833v1_genomic_all_plasmids.part_CP158573.1_acrif3_3	Anti_CRISPR	acrif3	2070	2944	48972	0.051192518173650246
pa00248_4	CP151649.1	6110	6081	minus	100	30	0	0	32	6081	6110	GCA_038397815.1_ASM3839781v1_genomic_all_plasmids.part_CP151649.1_acrie1_2	Anti_CRISPR	acrie1	5403	6593	53629	0.11184247328870574
pa00248_4	CP151649.1	6110	6081	minus	100	30	0	0	32	6081	6110	GCA_038397815.1_ASM3839781v1_genomic_all_plasmids.part_CP151649.1_acrif3_3	Anti_CRISPR	acrif3	5728	6593	53629	0.11487255029927837
pa00248_4	CP147602.1	7098	7069	minus	100	30	0	0	32	7069	7098	GCA_037285345.1_ASM3728534v1_genomic_all_plasmids.part_CP147602.1_acrif3_2	Anti_CRISPR	acrif3	6719	7581	40871	0.17494066697658486
pa00248_4	CP123954.1	7571	7542	minus	100	30	0	0	32	7542	7571	GCA_029916825.1_ASM2991682v1_genomic_all_plasmids.part_CP123954.1_acrie1_2	Anti_CRISPR	acrie1	6855	8054	54119	0.13774275208337183
pa00248_4	CP123954.1	7571	7542	minus	100	30	0	0	32	7542	7571	GCA_029916825.1_ASM2991682v1_genomic_all_plasmids.part_CP123954.1_acrif3_3	Anti_CRISPR	acrif3	7180	8054	54119	0.14074539440861805
