qseqid	sseqid	sstart	send	sstrand	pident	length	mismatch	gapopen	qlen	hit_min	hit_max	sys_id	type	subtype	sys_nt_begin	sys_nt_end	genome_length	norm_mid
pa00019_41	PX963123.1	2873	2842	minus	100	32	0	0	32	2842	2873	PX963123.1_acb1_2	Anti_CBASS	acb1	1287	3095	50081	0.04374912641520736
pa00024_41	PX963123.1	2873	2842	minus	100	32	0	0	32	2842	2873	PX963123.1_acb1_2	Anti_CBASS	acb1	1287	3095	50081	0.04374912641520736
pa00032_26	PX852245.1	52104	52135	plus	100	32	0	0	32	52104	52135	PX852245.1_vcrx091_093_1	Anti_CRISPR	vcrx091_093	51215	54080	64081	0.8215773786301712
pa00032_26	MK511040	51168	51199	plus	100	32	0	0	32	51168	51199	MK511040_vcrx091_093_1	Anti_CRISPR	vcrx091_093	50342	53144	62693	0.8253393520807746
pa00043_8	PX963123.1	2873	2842	minus	100	32	0	0	32	2842	2873	PX963123.1_acb1_2	Anti_CBASS	acb1	1287	3095	50081	0.04374912641520736
pa00049_22	PX963123.1	24901	24932	plus	100	32	0	0	32	24901	24932	PX963123.1_acrif23_3	Anti_CRISPR	acrif23	22983	25019	50081	0.4792436253269703
pa00049_22	OQ594956	21308	21339	plus	100	32	0	0	32	21308	21339	OQ594956_acrif23_1	Anti_CRISPR	acrif23	20947	21426	42817	0.4948151435177616
pa00071_10	PX963123.1	2873	2842	minus	100	32	0	0	32	2842	2873	PX963123.1_acb1_2	Anti_CBASS	acb1	1287	3095	50081	0.04374912641520736
pa00072_33	PX963123.1	2873	2842	minus	100	32	0	0	32	2842	2873	PX963123.1_acb1_2	Anti_CBASS	acb1	1287	3095	50081	0.04374912641520736
pa00074_27	PX963123.1	23503	23473	minus	100	31	0	0	40	23473	23503	PX963123.1_acrif23_3	Anti_CRISPR	acrif23	22983	25019	50081	0.4792436253269703
pa00074_27	PX963123.1	23503	23473	minus	100	31	0	0	40	23473	23503	PX963123.1_acrif24_4	Anti_CRISPR	acrif24	22983	24540	50081	0.4744613725764262
